title,sjr,quartile
Journal of Statistical Distributions and Applications,1.222,Q1
Learning Environments Research,1.222,Q1
Plastic and Reconstructive Surgery,1.222,Q1
Giant,1.221,Q1
International Journal of Geriatric Psychiatry,1.221,Q1
Nutrition Journal,1.221,Q1
CMAJ Open,1.220,Q1
Cancer Cytopathology,1.220,Q2
Endoscopic Ultrasound,1.220,Q1
Frontiers in Pharmacology,1.220,Q1
Information and Inference,1.220,Q1
Journal of Materials Chemistry C,1.220,Q1
Journal of Outdoor Recreation and Tourism,1.220,Q1
Journal of Power Sources Advances,1.220,Q1
Journal of Race Ethnicity and the City,1.220,Q1
Journal of Systems Architecture,1.220,Q1
Microplastics,1.220,Q1
Clinical and Translational Science,1.219,Q1
Energy for Sustainable Development,1.219,Q1
Petroleum Science,1.219,Q1
Stem Cell Reviews and Reports,1.219,Q2
Intensive and Critical Care Nursing,1.218,Q1
International Journal of Research in Undergraduate Mathematics Education,1.218,Q1
"Journal of Guidance, Control, and Dynamics",1.218,Q1
Maturitas,1.218,Q1
ESAIM: Mathematical Modelling and Numerical Analysis,1.217,Q1
International Journal of Medical Microbiology,1.217,Q1
Policy Sciences,1.217,Q1
Women's Health Issues,1.217,Q1
Anatomical Sciences Education,1.216,Q1
Biomaterials Advances,1.216,Q1
Cell Structure and Function,1.216,Q1
DNA Research,1.216,Q1
Geosphere,1.216,Q1
Paediatric and Perinatal Epidemiology,1.216,Q1
Regenerative Biomaterials,1.216,Q1
Spine,1.216,Q1
AIDS Patient Care and STDs,1.215,Q1
Biomaterials Science,1.215,Q1
Engineering Microbiology,1.215,Q1
Journal of Agricultural and Food Chemistry,1.215,Q1
Journal of Endocrinological Investigation,1.215,Q1
"Journal of Open Innovation: Technology, Market, and Complexity",1.215,Q1
"International Conference for High Performance Computing, Networking, Storage and Analysis, SC",1.214,-
Journal of Inflammation (United Kingdom),1.214,Q1
Journal of Marketing Management,1.214,Q1
Kidney Medicine,1.214,Q1
Chinese Medical Journal,1.213,Q1
Journal of Hydrometeorology,1.213,Q1
Language and Education,1.213,Q1
Psycho-Oncology,1.213,Q1
Reviews in the Neurosciences,1.213,Q1
Schizophrenia Research,1.213,Q1
Biochimica et Biophysica Acta - Molecular and Cell Biology of Lipids,1.212,Q2
Cognition and Emotion,1.212,Q1
Journal of Attention Disorders,1.212,Q1
Journal of Mental Health,1.212,Q1
Topics in Early Childhood Special Education,1.212,Q1
CONTINUUM Lifelong Learning in Neurology,1.211,Q1
Chemical Engineering Journal Advances,1.211,Q1
Common Market Law Review,1.211,Q1
Surface and Coatings Technology,1.211,Q1
Ad Hoc Networks,1.210,Q1
"Energy, Sustainability and Society",1.210,Q1
Environmental Communication,1.210,Q1
"Technology, Knowledge and Learning",1.210,Q1
AIDS,1.209,Q1
Experimental Dermatology,1.209,Q1
Journal of Antimicrobial Chemotherapy,1.209,Q1
AI and Society,1.208,Q1
Journal of the Energy Institute,1.208,Q1
Nonprofit Management and Leadership,1.208,Q1
Proteomes,1.208,Q1
JCO Global Oncology,1.207,Q2
Journal of Higher Education,1.207,Q1
Pediatric Diabetes,1.207,Q1
Soils and Foundations,1.207,Q1
Atmospheric Environment,1.206,Q1
IMA Fungus,1.206,Q1
Journal of Pragmatics,1.206,Q1
Forest Policy and Economics,1.205,Q1
Journal of Pain and Symptom Management,1.205,Q1
Annals of Medicine,1.204,Q1
Natural Gas Industry B,1.204,Q1
Wear,1.204,Q1
Journal of Immunotherapy,1.203,Q1
Molecular Human Reproduction,1.203,Q1
mLife,1.203,Q1
Archives of Pathology and Laboratory Medicine,1.202,Q1
Cancer Biology and Therapy,1.202,Q1
"Journal of Elections, Public Opinion and Parties",1.202,Q1
Journal of Experimental Psychology: Human Perception and Performance,1.202,Q1
Maritime Economics and Logistics,1.202,Q1
One Health,1.202,Q1
Science in One Health,1.202,Q1
Seminars in Oncology,1.202,Q1
Sociologia Ruralis,1.202,Q1
Cancer Medicine,1.201,Q1
ECS Sensors Plus,1.201,Q1
Environmental Science: Nano,1.201,Q1
IEEE Transactions on Signal and Information Processing over Networks,1.201,Q1
IUCrJ,1.201,Q1
Lab on a Chip,1.201,Q1
Nonlinear Dynamics,1.201,Q1
Annals of Epidemiology,1.200,Q1
Biomedical Journal,1.200,Q1
Expert Opinion on Therapeutic Patents,1.200,Q1
Journal of Biological Rhythms,1.200,Q1
Journal of Innate Immunity,1.200,Q2
Molecular Phylogenetics and Evolution,1.200,Q1
Nanotheranostics,1.200,Q1
Advances in Industrial and Manufacturing Engineering,1.199,Q1
Biology Direct,1.199,Q1
Chinese Physics Letters,1.199,Q1
Parkinsonism and Related Disorders,1.199,Q1
China Quarterly,1.198,Q1
Cleaner and Responsible Consumption,1.198,Q1
Climate Services,1.198,Q1
Molecular and Cellular Endocrinology,1.198,Q1
Open Mind,1.198,Q1
PNAS Nexus,1.198,Q1
Virtual Reality,1.198,Q1
American Ethnologist,1.197,Q1
European Journal of Pharmacology,1.197,Q1
Mathematical Research Letters,1.197,Q1
Sociological Science,1.197,Q1
Therapeutic Advances in Infectious Disease,1.197,Q1
Research in Transportation Business and Management,1.196,Q1
Antiviral Research,1.195,Q1
Expert Opinion on Drug Discovery,1.195,Q1
Microbial Biotechnology,1.195,Q1
Nursing Outlook,1.195,Q1
Precision Clinical Medicine,1.195,Q1
Food and Function,1.194,Q1
"Housing, Theory and Society",1.194,Q1
International Journal of Disaster Risk Reduction,1.194,Q1
Journal of Endocrinology,1.194,Q1
ACS Bio and Med Chem Au,1.193,Q1
CIRP Annals,1.193,Q1
Journal of Clinical Virology,1.193,Q1
Journal of Pest Science,1.193,Q1
Neurochemistry International,1.193,Q2
Sociology of Health and Illness,1.193,Q1
American Journal of Hypertension,1.192,Q1
Food Structure,1.192,Q1
Frontiers in Psychiatry,1.192,Q1
Journal of Alloys and Compounds,1.192,Q1
Plant Molecular Biology,1.192,Q1
Health Equity,1.191,Q1
Molecular Brain,1.191,Q2
Professional Development in Education,1.191,Q1
Science China Mathematics,1.191,Q1
Sports Coaching Review,1.191,Q1
Transfer,1.191,Q1
BMC Bioinformatics,1.190,Q1
Child Maltreatment,1.190,Q1
"Drug Design, Development and Therapy",1.190,Q1
Journal of Reliable Intelligent Environments,1.190,Q1
Journal of Social and Personal Relationships,1.190,Q1
SSM - Mental Health,1.190,Q1
Chinese Sociological Review,1.189,Q1
Clinical Trials,1.189,Q1
International Journal of Medical Informatics,1.189,Q1
Systems and Control Letters,1.189,Q1
Wind Energy,1.189,Q2
npj Materials Degradation,1.189,Q1
Applied Linguistics Review,1.188,Q1
Chinese Journal of Chemistry,1.188,Q1
German Journal of Human Resource Management,1.188,Q1
Information Processing in Agriculture,1.188,Q1
Journal of Addiction Medicine,1.188,Q1
Journal of Strength and Conditioning Research,1.188,Q1
Spanish Journal of Psychology,1.188,Q1
Addiction Science and Clinical Practice,1.187,Q1
Asia Pacific Management Review,1.187,Q1
British Journal of Politics and International Relations,1.187,Q1
Clinical Colorectal Cancer,1.187,Q1
Journal of Cardiovascular Electrophysiology,1.187,Q1
Ophthalmology and Therapy,1.187,Q1
Therapeutic Advances in Psychopharmacology,1.187,Q1
ACM Transactions on Knowledge Discovery from Data,1.186,Q1
Asia Pacific Journal of Marketing and Logistics,1.186,Q1
Biological Research,1.186,Q1
Journal of Agrarian Change,1.186,Q1
Journal of Rare Earths,1.186,Q1
Journal of Urban Technology,1.186,Q1
Plant Science,1.186,Q1
Psychiatry Research - Neuroimaging,1.186,Q1
Journal of Traumatic Stress,1.185,Q1
Management Communication Quarterly,1.185,Q1
Socius,1.185,Q1
Appetite,1.184,Q1
"Chaos, Solitons and Fractals",1.184,Q1
Current Research in Neurobiology,1.184,Q1
Management International Review,1.184,Q1
Environmental Challenges,1.183,Q1
IEEE Industrial Electronics Magazine,1.183,Q1
Journal of Applied Crystallography,1.183,Q1
Journal of Gambling Studies,1.183,Q1
Journal of Refractive Surgery,1.183,Q1
Endocrine Practice,1.182,Q1
Fundamental Research,1.182,Q1
Immunometabolism (United States),1.182,Q1
Korean Journal of Anesthesiology,1.182,Q1
npj Science of Learning,1.182,Q1
Cancer Causes and Control,1.181,Q2
Dialogues in Human Geography,1.181,Q1
European Journal of Engineering Education,1.181,Q1
Neural Regeneration Research,1.181,Q2
Journal of Gastroenterology and Hepatology (Australia),1.180,Q1
"Language, Culture and Curriculum",1.180,Q1
Project Management Journal,1.180,Q1
Therapeutic Advances in Hematology,1.180,Q1
Cell and Tissue Research,1.179,Q1
Clinical Autonomic Research,1.179,Q1
Early Childhood Education Journal,1.179,Q1
Food and Bioprocess Technology,1.179,Q1
Microbial Cell,1.179,Q1
Neurobiology of Language,1.179,Q1
Psychologica Belgica,1.179,Q1
BMC Cancer,1.178,Q2
Ethnicity and Health,1.178,Q1
IEEE Transactions on Terahertz Science and Technology,1.178,Q1
Journal of Professions and Organization,1.178,Q1
Technical Communication Quarterly,1.178,Q1
Economic Development and Cultural Change,1.177,Q1
Geothermics,1.177,Q1
Neurocritical Care,1.177,Q1
Dianwang Jishu/Power System Technology,1.176,Q1
Exposure and Health,1.176,Q1
Forest Ecosystems,1.176,Q1
Industrial and Organizational Psychology,1.176,Q1
Journal of Strategic Marketing,1.176,Q1
Poetics,1.176,Q1
Punishment and Society,1.176,Q1
VLDB Journal,1.176,Q1
Biochemistry,1.175,Q1
Drug Delivery and Translational Research,1.175,Q1
International Journal of Human-Computer Interaction,1.175,Q1
Journal of Cross-Cultural Psychology,1.175,Q1
Women in Sport and Physical Activity Journal,1.175,Q1
BMC Health Services Research,1.174,Q1
Bulletin of the London Mathematical Society,1.174,Q1
Chinese Journal of Structural Chemistry,1.174,Q1
Current Opinion in Infectious Diseases,1.174,Q1
Discourse and Society,1.174,Q1
Frontiers of Physics,1.174,Q1
Helicobacter,1.174,Q1
International Public Management Journal,1.174,Q1
NanoImpact,1.174,Q1
Proceedings of the Annual ACM Symposium on Principles of Distributed Computing,1.174,-
Genome Biology and Evolution,1.173,Q1
"Psychological Trauma: Theory, Research, Practice, and Policy",1.173,Q1
Energy Reports,1.172,Q1
Evolution,1.172,Q1
Frontiers in Microbiology,1.172,Q1
Gastroenterology Clinics of North America,1.172,Q1
Health Reports,1.172,Q1
International Journal of Geo-Engineering,1.172,Q1
Journal of Global Health,1.172,Q1
"Discourse, Context and Media",1.171,Q1
Genes and Cancer,1.171,Q2
Journal of Global Fashion Marketing,1.171,Q1
Journal of Research in Reading,1.171,Q1
Pediatric Research,1.171,Q1
Results in Engineering,1.171,Q1
Computer Networks,1.170,Q1
JOR Spine,1.170,Q1
Journal of Physics G: Nuclear and Particle Physics,1.170,Q1
Journal of Regional Science,1.170,Q1
Proceedings of Machine Learning Research,1.170,-
Granular Computing,1.169,Q1
Marine Policy,1.169,Q1
Current Research in Structural Biology,1.168,Q2
Cyber Security and Applications,1.168,Q1
Discrete Analysis,1.168,Q1
Fire Ecology,1.168,Q1
Nonlinear Analysis: Real World Applications,1.168,Q1
Reading and Writing,1.168,Q1
Robotics and Autonomous Systems,1.168,Q1
Social Networks,1.168,Q1
Animal Models and Experimental Medicine,1.167,Q1
Current Research in Green and Sustainable Chemistry,1.167,Q1
European Journal of Clinical Investigation,1.167,Q1
Geoenergy Science and Engineering,1.167,Q1
Infection,1.167,Q1
International Journal of Health Policy and Management,1.167,Q1
Journal of Bridge Engineering,1.167,Q1
Journal of Theoretical Social Psychology,1.167,Q1
Perspectives on Public Management and Governance,1.167,Q1
Restoration Ecology,1.167,Q1
BMJ Open Gastroenterology,1.166,Q1
China and World Economy,1.166,Q1
Current Tropical Medicine Reports,1.166,Q1
European Journal of Internal Medicine,1.166,Q1
Journal of Alzheimer's Disease,1.166,Q1
Journal of the Academy of Nutrition and Dietetics,1.166,Q1
ACM Transactions on Computer-Human Interaction,1.165,Q1
Basin Research,1.165,Q1
Early Education and Development,1.165,Q1
Experimental Gerontology,1.165,Q1
Geochronology,1.165,Q1
Journal of Cancer Policy,1.165,Q1
Proceedings - International Conference on Data Engineering,1.165,-
Publications,1.165,Q1
Therapeutic Advances in Drug Safety,1.165,Q1
ACM Transactions on Human-Robot Interaction,1.164,Q1
Developmental Biology,1.164,Q2
Policy Insights from the Behavioral and Brain Sciences,1.164,Q1
Thinking and Reasoning,1.164,Q1
Creativity and Innovation Management,1.163,Q1
Frontiers in Plant Science,1.163,Q1
International Journal of Climatology,1.163,Q1
International Journal of Food Microbiology,1.163,Q1
Plant Nano Biology,1.163,Q1
Expert Review of Neurotherapeutics,1.162,Q1
Journal of Career Development,1.162,Q1
Anesthesia and Analgesia,1.161,Q1
Bulletin of Engineering Geology and the Environment,1.161,Q1
European Journal of Sport Science,1.161,Q1
Journal of Composites for Construction,1.161,Q1
Journal of Endourology,1.161,Q1
Magnetic Resonance in Medicine,1.161,Q1
Scandinavian Political Studies,1.161,Q1
Biomass and Bioenergy,1.160,Q1
IEEE Journal on Emerging and Selected Topics in Circuits and Systems,1.160,Q1
Intelligence,1.160,Q1
International Journal of Thermal Sciences,1.160,Q1
Journal of Southern Hemisphere Earth Systems Science,1.160,Q1
Kidney Research and Clinical Practice,1.160,Q1
Obesity Pillars,1.160,Q1
RSC Chemical Biology,1.160,Q1
Seminars in Fetal and Neonatal Medicine,1.160,Q1
Addiction Biology,1.159,Q1
Ageing and Society,1.159,Q1
British Journal of Mathematical and Statistical Psychology,1.159,Q1
Engineering Failure Analysis,1.159,Q1
Health Education and Behavior,1.159,Q1
Insurance: Mathematics and Economics,1.159,Q1
Journal of Food Engineering,1.159,Q1
Journal of Materials Chemistry B,1.159,Q1
Journal of Higher Education Policy and Management,1.158,Q1
Global Finance Journal,1.157,Q1
Immunology and Cell Biology,1.157,Q2
International Journal of Social Robotics,1.157,Q1
Psychopharmacology,1.157,Q1
IEEE Transactions on Computers,1.156,Q1
Journal of Xenobiotics,1.156,Q1
Mathematische Zeitschrift,1.156,Q1
British Journal of Clinical Pharmacology,1.155,Q1
Environmental Epigenetics,1.155,Q1
Large-Scale Assessments in Education,1.155,Q1
Advanced Materials Interfaces,1.154,Q1
Classical and Quantum Gravity,1.154,Q1
Computational Linguistics,1.154,Q1
Family Medicine and Community Health,1.154,Q1
International Journal of Psychology,1.154,Q1
Journal of Internet Commerce,1.154,Q1
NEJM Evidence,1.154,Q1
Nature and Science of Sleep,1.154,Q1
Ecological Engineering,1.153,Q1
European Journal of Neuroscience,1.153,Q2
European Journal of Surgical Oncology,1.153,Q1
Feminist Media Studies,1.153,Q1
Global Spine Journal,1.153,Q1
Heart Rhythm O2,1.153,Q1
International Journal for Parasitology,1.153,Q1
Journal of Responsible Innovation,1.153,Q1
Rice Science,1.153,Q1
Transplantation Reviews,1.153,Q1
Transportation Research Part F: Traffic Psychology and Behaviour,1.153,Q1
Annals of Surgical Oncology,1.152,Q1
Behavioral Sciences of Terrorism and Political Aggression,1.152,Q1
Biogerontology,1.152,Q1
Composites Part C: Open Access,1.152,Q1
Diabetology and Metabolic Syndrome,1.152,Q1
Ear and Hearing,1.152,Q1
Journal of Nutrition,1.152,Q1
Journal of Safety Research,1.152,Q1
Scientometrics,1.152,Q1
Communications Engineering,1.151,Q1
Decision Making: Applications in Management and Engineering,1.151,Q1
AJPM Focus,1.150,Q1
Acta Orthopaedica,1.150,Q1
Atmospheric Environment: X,1.150,Q1
Expert Opinion on Biological Therapy,1.150,Q1
IEEE Electron Device Letters,1.150,Q1
Library Hi Tech,1.150,Q1
Proceedings of the ACM Conference on Computer and Communications Security,1.150,-
Review Journal of Autism and Developmental Disorders,1.150,Q1
Soil Ecology Letters,1.150,Q1
Critical Care Clinics,1.149,Q1
Journal of Frailty and Aging,1.149,Q1
Journal of Sustainable Cement-Based Materials,1.149,Q1
Memory and Cognition,1.149,Q1
Microbiology Spectrum,1.149,Q1
ASN Neuro,1.148,Q1
"European Journal of Mechanics, A/Solids",1.148,Q1
Feminist Criminology,1.148,Q1
Global Journal of Flexible Systems Management,1.148,Q1
Obesity Surgery,1.148,Q1
Critical Reviews in Toxicology,1.147,Q1
Environmental and Experimental Botany,1.147,Q1
Journal of LGBT Youth,1.147,Q1
Machine Learning,1.147,Q1
Climate and Development,1.146,Q1
Communications of the ACM,1.146,Q1
Journal of Sustainable Finance and Investment,1.146,Q1
Journal of Diabetes Investigation,1.145,Q1
Journal of Philosophy,1.145,Q1
Journal of the Neurological Sciences,1.145,Q1
Viruses,1.145,Q1
Aging Clinical and Experimental Research,1.144,Q2
Analysis and Applications,1.144,Q1
Defence Technology,1.144,Q1
European Journal of Political Economy,1.144,Q1
IUBMB Life,1.144,Q1
JMIR Serious Games,1.144,Q1
Journal of Critical Realism,1.144,Q1
Public Understanding of Science,1.144,Q1
Seminars in Perinatology,1.144,Q1
Sociology of Religion,1.144,Q1
Basic and Applied Ecology,1.143,Q1
Complex and Intelligent Systems,1.143,Q1
Journal of Aging and Health,1.143,Q1
Journal of Oral Microbiology,1.143,Q1
Malaria Journal,1.143,Q1
Molecular Nutrition and Food Research,1.143,Q1
Neurophotonics,1.143,Q1
Youth and Society,1.143,Q1
Biomacromolecules,1.142,Q1
Computer Standards and Interfaces,1.142,Q1
Environmental Health and Preventive Medicine,1.142,Q1
European Journal of Medicinal Chemistry,1.142,Q1
European Management Review,1.142,Q1
Geophysical Journal International,1.142,Q1
Groundwater for Sustainable Development,1.142,Q1
Journal of Ethnopharmacology,1.142,Q1
"SAE International Journal of Vehicle Dynamics, Stability, and NVH",1.142,Q1
Sociological Review,1.142,Q1
International Journal of Intelligent Systems,1.141,Q1
Progress in Biophysics and Molecular Biology,1.141,Q1
Psychology of Women Quarterly,1.141,Q1
Advanced Intelligent Systems,1.140,Q1
Chinese Journal of Population Resources and Environment,1.140,Q1
Intermetallics,1.140,Q1
Journal of Inflammation Research,1.140,Q2
Law and Human Behavior,1.140,Q1
NEJM Catalyst Innovations in Care Delivery,1.140,Q1
Research and Politics,1.140,Q1
"Cognitive, Affective and Behavioral Neuroscience",1.139,Q1
Food Quality and Preference,1.139,Q1
Journal of Neuro-Oncology,1.139,Q1
Journal of Proteome Research,1.139,Q1
Marine Life Science and Technology,1.139,Q1
Menopause,1.139,Q1
Nutritional Neuroscience,1.139,Q1
Tropical Cyclone Research and Review,1.139,Q1
World Journal of Men's Health,1.139,Q1
ASTIN Bulletin,1.138,Q1
"Educational Assessment, Evaluation and Accountability",1.138,Q1
Extractive Industries and Society,1.138,Q1
Journal of Cell Communication and Signaling,1.138,Q1
SciPost Physics Core,1.138,Q1
Electric Power Systems Research,1.137,Q1
Human Gene Therapy,1.137,Q2
Journal of Prosthodontic Research,1.137,Q1
Pediatric Obesity,1.137,Q1
Textiles,1.137,Q1
Archives of Physical Medicine and Rehabilitation,1.136,Q1
European Financial Management,1.136,Q1
Journal of Cognition and Development,1.136,Q1
Journal of Graduate Medical Education,1.136,Q1
Soil Use and Management,1.136,Q1
American Journal of Orthodontics and Dentofacial Orthopedics,1.135,Q1
Journal of Managerial Psychology,1.135,Q1
Journal of Rheumatology,1.135,Q1
Mineralogical Magazine,1.135,Q1
Research in Transportation Economics,1.135,Q1
Self and Identity,1.135,Q1
Autism and Developmental Language Impairments,1.134,Q1
BMC Plant Biology,1.134,Q1
Behavioural Public Policy,1.134,Q1
British Educational Research Journal,1.134,Q1
IEEE Transactions on Engineering Management,1.134,Q1
International Journal of Multilingualism,1.134,Q1
Journal of Hospitality and Tourism Insights,1.134,Q1
Journal of Macromarketing,1.134,Q2
Clinical Rehabilitation,1.133,Q1
Combinatorics Probability and Computing,1.133,Q1
International Review of Administrative Sciences,1.133,Q1
Journal of Advanced Manufacturing Science and Technology,1.133,Q1
Journal of Science: Advanced Materials and Devices,1.133,Q1
Maritime Transport Research,1.133,Q1
Counseling Psychologist,1.132,Q2
European Journal of Social Theory,1.132,Q1
Hepatology Research,1.132,Q1
IEEE Transactions on Human-Machine Systems,1.132,Q1
International Journal of Cardiology,1.132,Q1
Journal of Community Health,1.131,Q1
American Journal of Neuroradiology,1.130,Q1
Clinical Genitourinary Cancer,1.130,Q1
Computer Methods and Programs in Biomedicine,1.130,Q1
JBMR Plus,1.130,Q1
Journalism and Mass Communication Educator,1.130,Q1
FEMS Microbiology Ecology,1.129,Q1
"Health Promotion and Chronic Disease Prevention in Canada : Research, Policy and Practice",1.129,Q1
Journal of Mathematical Logic,1.129,Q1
Journal of Mental Health Policy and Economics,1.129,Q1
Nurse Education in Practice,1.129,Q1
Health Care Management Review,1.128,Q1
Infancy,1.128,Q1
Jiegou Huaxue,1.128,Q1
Journal of Anthropological Archaeology,1.128,Q1
"Psychology of Aesthetics, Creativity, and the Arts",1.128,Q1
Resource and Energy Economics,1.128,Q1
"Technology, Pedagogy and Education",1.128,Q1
A e C - Revista de Direito Administrativo e Constitucional,1.127,Q1
Drug Safety,1.127,Q1
Journal of Neural Engineering,1.127,Q1
Applied Mathematical Modelling,1.126,Q1
Asian Journal of Psychiatry,1.126,Q1
Cognitive Science,1.126,Q1
Community Mental Health Journal,1.126,Q1
Fungal Systematics and Evolution,1.126,Q1
BMB Reports,1.125,Q1
Clinical Diabetes,1.125,Q1
Expert Review of Clinical Immunology,1.125,Q2
Psychological Inquiry,1.125,Q1
Studies in Applied Mathematics,1.125,Q1
APL Materials,1.124,Q1
Advances in Engineering Software,1.124,Q1
Cellular Microbiology,1.124,Q1
Energy and Fuels,1.124,Q1
"Language, Speech, and Hearing Services in Schools",1.124,Q1
Bioprinting,1.123,Q1
CNS Oncology,1.123,Q1
Current Hematologic Malignancy Reports,1.123,Q1
Current Opinion in Oncology,1.123,Q2
Dermatology,1.123,Q1
European Journal of Soil Biology,1.123,Q1
HIV Medicine,1.123,Q1
Journal of Psychiatric and Mental Health Nursing,1.123,Q2
Population and Environment,1.123,Q1
Diabetes and Vascular Disease Research,1.122,Q1
Economic Inquiry,1.122,Q1
Global Media and China,1.122,Q1
ACS Applied Nano Materials,1.121,Q1
ChemSystemsChem,1.121,Q1
Journal of Industrial and Engineering Chemistry,1.121,Q1
Journal of the Meteorological Society of Japan,1.121,Q2
Reviews in Chemical Engineering,1.121,Q1
Addictive Behaviors Reports,1.120,Q1
Best Practice and Research: Clinical Gastroenterology,1.120,Q1
Chemico-Biological Interactions,1.120,Q1
Current Cardiology Reports,1.120,Q1
Ecosphere,1.120,Q1
Energy Journal,1.120,Q1
Futures,1.120,Q1
Journal of Clinical Sleep Medicine,1.120,Q1
Natural Language and Linguistic Theory,1.120,Q1
Non-coding RNA Research,1.120,Q1
Social and Cultural Geography,1.120,Q1
APL Bioengineering,1.119,Q1
Bilingualism,1.119,Q1
HPB,1.119,Q1
Journal d'Analyse Mathematique,1.119,Q1
Journal of Physiology and Biochemistry,1.119,Q1
Machine Learning: Science and Technology,1.119,Q1
Pancreatology,1.119,Q1
Rheumatic Disease Clinics of North America,1.119,Q1
Transactions of Nonferrous Metals Society of China (English Edition),1.119,Q1
Evidence and Policy,1.118,Q1
Journal of Analysis and Testing,1.118,Q1
Molecular Plant-Microbe Interactions,1.118,Q1
Advances in Geophysics,1.117,Q1
Asian Journal of Social Health and Behavior,1.117,Q1
Biological Chemistry,1.117,Q1
Clinical Interventions in Aging,1.117,Q1
Journal of Small Business and Entrepreneurship,1.117,Q1
Language Awareness,1.117,Q1
Leadership and Organization Development Journal,1.117,Q1
Soil Security,1.117,Q1
Zhongguo Dianji Gongcheng Xuebao/Proceedings of the Chinese Society of Electrical Engineering,1.117,Q1
Biochemia Medica,1.116,Q1
Collagen and Leather,1.116,Q1
Eurasian Business Review,1.116,Q1
Frontiers in Toxicology,1.116,Q1
Journal of Experimental Child Psychology,1.116,Q1
Journal of Oral Rehabilitation,1.116,Q1
Real Estate Economics,1.116,Q1
European Planning Studies,1.115,Q1
Frontiers in Nutrition,1.115,Q1
Journal of Creative Behavior,1.115,Q1
Journal of Glaciology,1.115,Q1
Materials Advances,1.115,Q1
Antibiotics,1.114,Q1
Biomedicines,1.114,Q1
Computer Communications,1.114,Q1
Advanced Biology,1.113,Q1
Current Oncology,1.113,Q2
Dementia,1.113,Q1
IEEE Transactions on Biomedical Engineering,1.113,Q1
Journal of Construction Engineering and Management,1.113,Q1
Journal of Integrative Agriculture,1.113,Q1
Primary Care - Clinics in Office Practice,1.113,Q1
Biophysical Journal,1.112,Q1
Nonprofit and Voluntary Sector Quarterly,1.112,Q1
Pharmaceutical Medicine,1.112,Q1
Radiation Oncology,1.112,Q1
China Geology,1.111,Q1
Digestion,1.111,Q1
EFSA Journal,1.111,Q1
International Journal of Digital Earth,1.111,Q1
Radiology: Imaging Cancer,1.111,Q1
Engineering with Computers,1.110,Q1
JPhys Materials,1.110,Q1
Nonlinear Differential Equations and Applications,1.110,Q1
Progress in Natural Science: Materials International,1.110,Q1
Scandinavian Journal of Management,1.110,Q1
Spanish Journal of Marketing - ESIC,1.110,Q2
Television and New Media,1.110,Q1
American Politics Research,1.109,Q1
JBI Evidence Implementation,1.109,Q1
Journal of Refugee Studies,1.109,Q1
Land Degradation and Development,1.109,Q1
Space Weather,1.109,Q2
Supportive Care in Cancer,1.109,Q1
China Agricultural Economic Review,1.108,Q1
China Communications,1.108,Q1
Cytokine,1.108,Q1
Ecosystems and People,1.108,Q1
Food Bioscience,1.108,Q1
International Journal of Science and Mathematics Education,1.108,Q1
International Journal of Tryptophan Research,1.108,Q1
Journal of Pharmacology and Experimental Therapeutics,1.108,Q1
Journal of Systematics and Evolution,1.108,Q1
Asian Spine Journal,1.107,Q1
China Journal,1.107,Q1
Cleaner Energy Systems,1.107,Q2
Epigenomes,1.107,Q1
Ethics and Information Technology,1.107,Q1
Food and Energy Security,1.107,Q1
International Journal for Numerical and Analytical Methods in Geomechanics,1.107,Q1
Journal of Neural Transmission,1.107,Q1
Open Heart,1.107,Q1
Applied and Environmental Microbiology,1.106,Q1
BMJ Open Respiratory Research,1.106,Q1
Economic and Industrial Democracy,1.106,Q1
Electrochimica Acta,1.106,Q1
Environmental Education Research,1.106,Q1
Frontiers of Optoelectronics,1.106,Q1
International Journal of Integrated Care,1.106,Q1
Journal of Athletic Training,1.106,Q1
Journal of Plant Physiology,1.106,Q1
Men and Masculinities,1.106,Q1
Toxicology,1.106,Q1
ACM Transactions on Quantum Computing,1.105,Q1
ACS Biomaterials Science and Engineering,1.105,Q1
Aggressive Behavior,1.105,Q1
Annals of Family Medicine,1.105,Q1
Circulation Journal,1.105,Q1
Counseling Outcome Research and Evaluation,1.105,Q1
European Journal of Public Health,1.105,Q1
European Transport Research Review,1.105,Q1
Journal of Diabetes,1.105,Q2
Neurology: Genetics,1.105,Q1
Trends in Neuroscience and Education,1.105,Q1
European Thyroid Journal,1.104,Q2
Social Policy and Administration,1.104,Q1
Applied Water Science,1.103,Q1
Behaviour and Information Technology,1.103,Q1
Computational Complexity,1.103,Q1
Journal of Curriculum Studies,1.103,Q1
Microbial Cell Factories,1.103,Q1
Neurochemical Research,1.103,Q1
Benchmarking,1.102,Q1
Canadian Psychology,1.102,Q1
Hernia : the journal of hernias and abdominal wall surgery,1.102,Q1
Neural Computing and Applications,1.102,Q1
Neurosurgical Focus,1.102,Q1
Pregnancy Hypertension,1.102,Q1
American Review of Public Administration,1.101,Q1
Canadian Journal of School Psychology,1.101,Q2
International Journal of Refractory Metals and Hard Materials,1.101,Q1
Journal of Experimental Education,1.101,Q1
Journal of Neuropathology and Experimental Neurology,1.101,Q1
Minerals Engineering,1.101,Q1
Neural Plasticity,1.101,Q2
Statistica Sinica,1.101,Q1
Trends in Hearing,1.101,Q1
IEEE Intelligent Transportation Systems Magazine,1.100,Q1
Insect Systematics and Diversity,1.100,Q1
JMIR Nursing,1.100,Q1
Additive Manufacturing Letters,1.099,Q1
Contemporary Educational Technology,1.099,Q1
Fungal Biology Reviews,1.099,Q1
